unit,geo,time,values
PC_GEXP,IE,2019,0.93
PC_GEXP,IS,2019,2.11
PC_GEXP,IT,2019,1.13
PC_GEXP,LT,2019,0.9
PC_GEXP,LU,2019,1.43
PC_GEXP,LV,2019,0.59
PC_GEXP,MT,2019,0.6
PC_GEXP,NL,2019,1.65
PC_GEXP,NO,2019,1.99
PC_GEXP,PL,2019,1.06
PC_GEXP,PT,2019,0.82
PC_GEXP,RO,2019,0.53
PC_GEXP,SE,2019,1.49
PC_GEXP,SI,2019,1.05
PC_GEXP,SK,2019,0.94
PC_GEXP,UK,2019,1.36
PC_GEXP,AT,2020,1.52
PC_GEXP,BE,2020,1.26
PC_GEXP,BG,2020,0.57
PC_GEXP,CH,2020,2.72
PC_GEXP,CY,2020,1.21
PC_GEXP,CZ,2020,1.42
PC_GEXP,DE,2020,2.17
PC_GEXP,DK,2020,1.81
PC_GEXP,EA19,2020,1.48
PC_GEXP,EE,2020,1.52
PC_GEXP,EL,2020,1.48
PC_GEXP,ES,2020,1.18
PC_GEXP,EU27_2020,2020,1.44
PC_GEXP,FI,2020,1.68
PC_GEXP,FR,2020,1.12
PC_GEXP,HR,2020,1.44
PC_GEXP,HU,2020,1.04
PC_GEXP,IE,2020,0.85
PC_GEXP,IT,2020,1.17
PC_GEXP,LT,2020,0.77
PC_GEXP,LU,2020,1.26
PC_GEXP,LV,2020,0.62
PC_GEXP,MT,2020,0.5
PC_GEXP,NL,2020,1.58
PC_GEXP,NO,2020,1.98
PC_GEXP,PL,2020,0.9
PC_GEXP,PT,2020,0.75
PC_GEXP,RO,2020,0.43
PC_GEXP,SE,2020,1.47
PC_GEXP,SI,2020,1.01
PC_GEXP,SK,2020,0.92
